0	1	1
2	3	2
0	4	6
3	5	5
4	5	0
2	6	5
6	7	0
7	8	6
0	9	6
4	9	7
8	9	2
5	10	6
3	11	1
5	11	4
10	11	1
2	13	5
12	13	0
2	14	1
12	14	4
2	15	6
13	15	6
14	15	1
0	16	6
4	16	6
9	16	6
12	17	0
16	17	0
12	18	3
18	19	1
17	20	5
7	21	6
8	21	6
20	21	0
7	22	6
8	22	7
9	22	3
21	22	6
0	23	7
4	23	6
9	23	7
16	23	6
22	23	2
11	24	4
1	25	7
24	25	0
3	26	0
12	26	5
14	26	4
1	27	0
17	27	4
26	27	0
4	28	1
11	28	4
24	28	4
19	29	6
19	30	7
29	30	7
18	31	5
6	32	5
13	32	5
15	32	5
21	32	0
31	32	0
0	33	1
1	33	8
19	33	0
25	33	7
12	34	2
18	34	7
26	34	3
31	34	5
0	35	0
19	35	7
29	35	6
30	35	7
34	35	1
12	36	2
18	36	2
19	36	1
20	36	0
1	37	7
25	37	7
33	37	7
36	37	0
12	38	5
14	38	6
16	38	0
18	38	3
26	38	4
28	38	0
6	39	5
13	39	5
15	39	6
32	39	6
38	39	1
3	40	5
7	40	0
0	41	6
4	41	6
8	41	1
9	41	7
16	41	7
23	41	6
40	41	0
18	42	1
26	42	2
29	42	0
34	42	2
12	43	5
14	43	4
26	43	6
31	43	3
36	43	1
38	43	4
42	43	1
19	44	2
30	44	2
35	44	2
1	45	7
13	45	0
25	45	7
33	45	7
37	45	7
44	45	0
21	46	1
2	47	5
6	47	6
15	47	5
22	47	0
32	47	5
39	47	5
46	47	0
44	48	5
32	49	0
46	49	7
48	49	1
11	50	4
24	50	4
28	50	5
30	50	0
8	51	6
21	51	6
22	51	6
40	51	0
50	51	2
3	52	6
5	52	4
40	52	5
25	53	0
46	53	7
48	53	2
49	53	8
52	53	0
14	54	3
18	54	6
31	54	6
34	54	5
38	54	4
39	54	1
6	55	0
19	55	6
29	55	6
30	55	6
31	55	2
35	55	6
54	55	1
27	56	6
1	57	0
42	57	0
44	57	5
48	57	5
56	57	0
3	58	0
6	58	0
17	58	0
36	58	1
36	59	1
58	59	3
2	60	6
6	60	5
10	60	0
13	60	5
15	60	5
39	60	5
47	60	5
59	60	0
18	61	5
26	61	2
31	61	6
34	61	6
43	61	2
47	61	0
54	61	5
17	62	4
20	62	4
27	62	5
45	62	1
56	62	5
61	62	0
